player_name,team,position,caps,club,group
Bart Verbruggen,Netherlands,GK,29,,Group F
Lutsharel Geertruida,Netherlands,DEF,21,,Group F
Marten de Roon,Netherlands,MID,43,,Group F
Virgil van Dijk,Netherlands,DEF,92,,Group F
Nathan Aké,Netherlands,DEF,59,,Group F
Jan Paul van Hecke,Netherlands,DEF,12,,Group F
Justin Kluivert,Netherlands,MID,12,,Group F
Ryan Gravenberch,Netherlands,MID,27,,Group F
Wout Weghorst,Netherlands,FWD,52,,Group F
Memphis Depay,Netherlands,FWD,109,,Group F
Cody Gakpo,Netherlands,FWD,50,,Group F
Mats Wieffer,Netherlands,DEF,15,,Group F
Robin Roefs,Netherlands,GK,1,,Group F
Tijjani Reijnders,Netherlands,MID,32,,Group F
Micky van de Ven,Netherlands,DEF,21,,Group F
Guus Til,Netherlands,MID,7,,Group F
Noa Lang,Netherlands,FWD,15,,Group F
Donyell Malen,Netherlands,FWD,53,,Group F
Brian Brobbey,Netherlands,FWD,12,,Group F
Teun Koopmeiners,Netherlands,MID,28,,Group F
Frenkie de Jong,Netherlands,MID,66,,Group F
Denzel Dumfries,Netherlands,DEF,72,,Group F
Mark Flekken,Netherlands,GK,12,,Group F
Crysencio Summerville,Netherlands,FWD,2,,Group F
Jorrel Hato,Netherlands,DEF,8,,Group F
Quinten Timber,Netherlands,MID,11,,Group F
Jacob Widell Zetterström,Sweden,GK,3,,Group F
Gustaf Lagerbielke,Sweden,DEF,11,,Group F
Victor Lindelöf,Sweden,DEF,76,,Group F
Isak Hien,Sweden,DEF,29,,Group F
Gabriel Gudmundsson,Sweden,DEF,24,,Group F
Herman Johansson,Sweden,DEF,3,,Group F
Lucas Bergvall,Sweden,MID,10,,Group F
Daniel Svensson,Sweden,DEF,13,,Group F
Alexander Isak,Sweden,FWD,58,,Group F
Benjamin Nygren,Sweden,MID,11,,Group F
Anthony Elanga,Sweden,FWD,30,,Group F
Viktor Johansson,Sweden,GK,12,,Group F
Ken Sema,Sweden,MID,33,,Group F
Hjalmar Ekdal,Sweden,DEF,13,,Group F
Carl Starfelt,Sweden,DEF,18,,Group F
Jesper Karlström,Sweden,MID,25,,Group F
Viktor Gyökeres,Sweden,FWD,33,,Group F
Yasin Ayari,Sweden,MID,21,,Group F
Mattias Svanberg,Sweden,MID,41,,Group F
Eric Smith,Sweden,DEF,2,,Group F
Alexander Bernhardsson,Sweden,DEF,11,,Group F
Besfort Zeneli,Sweden,MID,8,,Group F
Kristoffer Nordfeldt,Sweden,GK,21,,Group F
Elliot Stroud,Sweden,DEF,1,,Group F
Gustaf Nilsson,Sweden,FWD,10,,Group F
Taha Ali,Sweden,FWD,2,,Group F
Mouhib Chamakh,Tunisia,GK,3,,Group F
Ali Abdi,Tunisia,DEF,46,,Group F
Montassar Talbi,Tunisia,DEF,64,,Group F
Omar Rekik,Tunisia,DEF,6,,Group F
Adem Arous,Tunisia,DEF,2,,Group F
Dylan Bronn,Tunisia,DEF,52,,Group F
Elias Achouri,Tunisia,FWD,30,,Group F
Elias Saad,Tunisia,FWD,15,,Group F
Hazem Mastouri,Tunisia,FWD,19,,Group F
Hannibal Mejbri,Tunisia,MID,45,,Group F
Ismaël Gharbi,Tunisia,MID,17,,Group F
Mortadha Ben Ouanes,Tunisia,DEF,18,,Group F
Rani Khedira,Tunisia,MID,3,,Group F
Khalil Ayari,Tunisia,MID,4,,Group F
Hadj Mahmoud,Tunisia,MID,9,,Group F
Aymen Dahmen,Tunisia,GK,37,,Group F
Ellyes Skhiri,Tunisia,MID,83,,Group F
Rayan Elloumi,Tunisia,FWD,4,,Group F
Firas Chaouat,Tunisia,FWD,30,,Group F
Yan Valery,Tunisia,DEF,22,,Group F
Mohamed Amine Ben Hamida,Tunisia,DEF,13,,Group F
Sabri Ben Hessen,Tunisia,GK,2,,Group F
Moutaz Neffati,Tunisia,DEF,5,,Group F
Raed Chikhaoui,Tunisia,DEF,0,,Group F
Anis Ben Slimane,Tunisia,MID,41,,Group F
Sebastian Tounekti,Tunisia,MID,12,,Group F
Thibaut Courtois,Belgium,GK,109,,Group G
Zeno Debast,Belgium,DEF,26,,Group G
Arthur Theate,Belgium,DEF,33,,Group G
Brandon Mechele,Belgium,DEF,9,,Group G
Maxim De Cuyper,Belgium,DEF,19,,Group G
Axel Witsel,Belgium,MID,138,,Group G
Kevin De Bruyne,Belgium,MID,119,,Group G
Youri Tielemans,Belgium,MID,85,,Group G
Romelu Lukaku,Belgium,FWD,126,,Group G
Leandro Trossard,Belgium,FWD,51,,Group G
Jérémy Doku,Belgium,FWD,43,,Group G
Senne Lammens,Belgium,GK,2,,Group G
Mike Penders,Belgium,GK,0,,Group G
Dodi Lukébakio,Belgium,FWD,30,,Group G
Thomas Meunier,Belgium,DEF,80,,Group G
Koni De Winter,Belgium,DEF,8,,Group G
Charles De Ketelaere,Belgium,FWD,30,,Group G
Joaquin Seys,Belgium,DEF,5,,Group G
Diego Moreira,Belgium,MID,3,,Group G
Hans Vanaken,Belgium,MID,34,,Group G
Timothy Castagne,Belgium,DEF,63,,Group G
Alexis Saelemaekers,Belgium,MID,24,,Group G
Nicolas Raskin,Belgium,MID,13,,Group G
Amadou Onana,Belgium,MID,29,,Group G
Nathan Ngoy,Belgium,DEF,4,,Group G
Matias Fernandez-Pardo,Belgium,FWD,2,,Group G
Mohamed El Shenawy,Egypt,GK,76,,Group G
Yasser Ibrahim,Egypt,DEF,17,,Group G
Mohamed Hany,Egypt,DEF,42,,Group G
Hossam Abdelmaguid,Egypt,DEF,13,,Group G
Ramy Rabia,Egypt,DEF,44,,Group G
Mohamed Abdelmonem,Egypt,DEF,36,,Group G
Trézéguet,Egypt,FWD,96,,Group G
Emam Ashour,Egypt,MID,29,,Group G
Hamza Abdelkarim,Egypt,FWD,2,,Group G
Mohamed Salah,Egypt,FWD,116,,Group G
Mostafa Ziko,Egypt,MID,2,,Group G
Haissem Hassan,Egypt,FWD,4,,Group G
Ahmed Fatouh,Egypt,DEF,39,,Group G
Hamdy Fathy,Egypt,MID,63,,Group G
Karim Hafez,Egypt,DEF,9,,Group G
El Mahdy Soliman,Egypt,GK,0,,Group G
Mohanad Lasheen,Egypt,MID,23,,Group G
Nabil Emad,Egypt,MID,12,,Group G
Marwan Attia,Egypt,MID,34,,Group G
Ibrahim Adel,Egypt,FWD,24,,Group G
Mahmoud Saber,Egypt,MID,15,,Group G
Omar Marmoush,Egypt,FWD,50,,Group G
Mostafa Shobeir,Egypt,GK,9,,Group G
Tarek Alaa,Egypt,DEF,3,,Group G
Zizo,Egypt,FWD,63,,Group G
Mohamed Alaa,Egypt,GK,0,,Group G
Alireza Beiranvand,Iran,GK,86,,Group G
Saleh Hardani,Iran,DEF,18,,Group G
Ehsan Hajsafi,Iran,DEF,146,,Group G
Shojae Khalilzadeh,Iran,DEF,58,,Group G
Milad Mohammadi,Iran,DEF,76,,Group G
Saeid Ezatolahi,Iran,MID,83,,Group G
Alireza Jahanbakhsh,Iran,MID,98,,Group G
Mohammad Mohebi,Iran,MID,36,,Group G
Mehdi Taremi,Iran,FWD,105,,Group G
Mehdi Ghayedi,Iran,FWD,30,,Group G
Ali Alipour,Iran,FWD,14,,Group G
Payam Niazmand,Iran,GK,15,,Group G
Hossein Kanaanizadegan,Iran,DEF,65,,Group G
Saman Ghoddos,Iran,MID,68,,Group G
Rouzbeh Cheshmi,Iran,MID,40,,Group G
Mehdi Torabi,Iran,MID,52,,Group G
Aria Yousefi,Iran,DEF,14,,Group G
Amirhossein Hosseinzadeh,Iran,FWD,18,,Group G
Ali Nemati,Iran,DEF,17,,Group G
Shahriyar Moghanlou,Iran,FWD,21,,Group G
Mohammad Ghorbani,Iran,MID,16,,Group G
Hossein Hosseini,Iran,GK,13,,Group G
Ramin Rezaeian,Iran,DEF,74,,Group G
Dennis Eckert,Iran,FWD,0,,Group G
Danial Eiri,Iran,DEF,0,,Group G
Amirmohammad Razzaghinia,Iran,MID,4,,Group G
Max Crocombe,New Zealand,GK,24,,Group G
Tim Payne,New Zealand,DEF,51,,Group G
Francis de Vries,New Zealand,DEF,20,,Group G
Tyler Bindon,New Zealand,DEF,25,,Group G
Michael Boxall,New Zealand,DEF,63,,Group G
Joe Bell,New Zealand,MID,32,,Group G
Matthew Garbett,New Zealand,MID,37,,Group G
Marko Stamenić,New Zealand,MID,39,,Group G
Chris Wood,New Zealand,FWD,90,,Group G
Sarpreet Singh,New Zealand,MID,28,,Group G
Elijah Just,New Zealand,MID,44,,Group G
Alex Paulsen,New Zealand,GK,8,,Group G
Liberato Cacace,New Zealand,DEF,37,,Group G
Alex Rufer,New Zealand,MID,26,,Group G
Nando Pijnaker,New Zealand,DEF,25,,Group G
Finn Surman,New Zealand,DEF,19,,Group G
Kosta Barbarouses,New Zealand,FWD,76,,Group G
Ben Waine,New Zealand,FWD,31,,Group G
Ben Old,New Zealand,MID,24,,Group G
Callum McCowatt,New Zealand,MID,32,,Group G
Jesse Randall,New Zealand,FWD,11,,Group G
Michael Woud,New Zealand,GK,6,,Group G
Ryan Thomas,New Zealand,MID,25,,Group G
Callan Elliot,New Zealand,DEF,11,,Group G
Lachlan Bayliss,New Zealand,MID,4,,Group G
Tommy Smith,New Zealand,DEF,56,,Group G
Vozinha,Cape Verde,GK,90,,Group H
Stopira,Cape Verde,DEF,61,,Group H
Diney,Cape Verde,DEF,32,,Group H
Roberto Lopes,Cape Verde,DEF,45,,Group H
Logan Costa,Cape Verde,DEF,28,,Group H
Kevin Pina,Cape Verde,MID,31,,Group H
Jovane Cabral,Cape Verde,MID,29,,Group H
João Paulo,Cape Verde,MID,41,,Group H
Gilson Benchimol,Cape Verde,FWD,21,,Group H
Jamiro Monteiro,Cape Verde,MID,55,,Group H
Garry Rodrigues,Cape Verde,MID,61,,Group H
Márcio Rosa,Cape Verde,GK,11,,Group H
Sidny Lopes Cabral,Cape Verde,DEF,11,,Group H
Deroy Duarte,Cape Verde,MID,33,,Group H
Laros Duarte,Cape Verde,MID,20,,Group H
Yannick Semedo,Cape Verde,MID,11,,Group H
Willy Semedo,Cape Verde,MID,38,,Group H
Telmo Arcanjo,Cape Verde,MID,16,,Group H
Dailon Livramento,Cape Verde,FWD,22,,Group H
Ryan Mendes,Cape Verde,FWD,98,,Group H
Nuno da Costa,Cape Verde,MID,9,,Group H
Steven Moreira,Cape Verde,DEF,20,,Group H
CJ dos Santos,Cape Verde,GK,1,,Group H
Wagner Pina,Cape Verde,DEF,14,,Group H
Kelvin Pires,Cape Verde,DEF,6,,Group H
Hélio Varela,Cape Verde,MID,21,,Group H
Nawaf Al-Aqidi,Saudi Arabia,GK,24,,Group H
Ali Majrashi,Saudi Arabia,DEF,21,,Group H
Ali Lajami,Saudi Arabia,DEF,24,,Group H
Abdulelah Al-Amri,Saudi Arabia,DEF,44,,Group H
Hassan Al-Tambakti,Saudi Arabia,DEF,54,,Group H
Nasser Al-Dawsari,Saudi Arabia,MID,47,,Group H
Musab Al-Juwayr,Saudi Arabia,MID,37,,Group H
Ayman Yahya,Saudi Arabia,FWD,26,,Group H
Firas Al-Buraikan,Saudi Arabia,FWD,72,,Group H
Salem Al-Dawsari,Saudi Arabia,FWD,111,,Group H
Saleh Al-Shehri,Saudi Arabia,FWD,59,,Group H
Saud Abdulhamid,Saudi Arabia,DEF,55,,Group H
Nawaf Boushal,Saudi Arabia,DEF,27,,Group H
Hassan Kadesh,Saudi Arabia,DEF,21,,Group H
Abdullah Al-Khaibari,Saudi Arabia,MID,42,,Group H
Ziyad Al-Johani,Saudi Arabia,MID,12,,Group H
Khalid Al-Ghannam,Saudi Arabia,FWD,7,,Group H
Alaa Al-Hejji,Saudi Arabia,MID,3,,Group H
Abdullah Al-Hamdan,Saudi Arabia,FWD,52,,Group H
Sultan Mandash,Saudi Arabia,FWD,7,,Group H
Mohammed Al-Owais,Saudi Arabia,GK,65,,Group H
Ahmed Al-Kassar,Saudi Arabia,GK,9,,Group H
Mohamed Kanno,Saudi Arabia,MID,79,,Group H
Moteb Al-Harbi,Saudi Arabia,DEF,13,,Group H
Jehad Thakri,Saudi Arabia,DEF,8,,Group H
Mohammed Abu Al-Shamat,Saudi Arabia,DEF,8,,Group H
David Raya,Spain,GK,13,,Group H
Marc Pubill,Spain,DEF,2,,Group H
Álex Grimaldo,Spain,DEF,14,,Group H
Eric García,Spain,DEF,21,,Group H
Marcos Llorente,Spain,DEF,24,,Group H
Mikel Merino,Spain,MID,43,,Group H
Ferran Torres,Spain,FWD,57,,Group H
Fabián Ruiz,Spain,MID,42,,Group H
Gavi,Spain,MID,30,,Group H
Dani Olmo,Spain,FWD,50,,Group H
Yéremy Pino,Spain,FWD,23,,Group H
Pedro Porro,Spain,DEF,18,,Group H
Joan Garcia,Spain,GK,2,,Group H
Aymeric Laporte,Spain,DEF,46,,Group H
Álex Baena,Spain,MID,17,,Group H
Rodri,Spain,MID,62,,Group H
Nico Williams,Spain,FWD,30,,Group H
Martín Zubimendi,Spain,MID,26,,Group H
Lamine Yamal,Spain,FWD,25,,Group H
Pedri,Spain,MID,41,,Group H
Mikel Oyarzabal,Spain,FWD,53,,Group H
Pau Cubarsí,Spain,DEF,12,,Group H
Unai Simón,Spain,GK,58,,Group H
Marc Cucurella,Spain,DEF,24,,Group H
Víctor Muñoz,Spain,FWD,2,,Group H
Borja Iglesias,Spain,FWD,8,,Group H
Sergio Rochet,Uruguay,GK,35,,Group H
José María Giménez,Uruguay,DEF,99,,Group H
Sebastián Cáceres,Uruguay,DEF,24,,Group H
Ronald Araújo,Uruguay,DEF,27,,Group H
Manuel Ugarte,Uruguay,MID,36,,Group H
Rodrigo Bentancur,Uruguay,MID,74,,Group H
Nicolás de la Cruz,Uruguay,MID,34,,Group H
Federico Valverde,Uruguay,MID,73,,Group H
Darwin Núñez,Uruguay,FWD,38,,Group H
Giorgian de Arrascaeta,Uruguay,MID,60,,Group H
Facundo Pellistri,Uruguay,FWD,39,,Group H
Santiago Mele,Uruguay,GK,8,,Group H
Guillermo Varela,Uruguay,DEF,28,,Group H
Agustín Canobbio,Uruguay,MID,15,,Group H
Emiliano Martínez,Uruguay,MID,10,,Group H
Mathías Olivera,Uruguay,DEF,35,,Group H
Matías Viña,Uruguay,DEF,43,,Group H
Brian Rodríguez,Uruguay,FWD,32,,Group H
Rodrigo Aguirre,Uruguay,FWD,10,,Group H
Maximiliano Araújo,Uruguay,MID,28,,Group H
Federico Viñas,Uruguay,FWD,11,,Group H
Joaquín Piquerez,Uruguay,MID,19,,Group H
Fernando Muslera,Uruguay,GK,134,,Group H
Santiago Bueno,Uruguay,DEF,8,,Group H
Juan Manuel Sanabria,Uruguay,MID,5,,Group H
Rodrigo Zalazar,Uruguay,MID,8,,Group H
Brice Samba,France,GK,4,,Group I
Malo Gusto,France,DEF,11,,Group I
Lucas Digne,France,DEF,58,,Group I
Dayot Upamecano,France,DEF,38,,Group I
Jules Koundé,France,DEF,48,,Group I
Manu Koné,France,MID,14,,Group I
Ousmane Dembélé,France,FWD,59,,Group I
Aurélien Tchouaméni,France,MID,46,,Group I
Marcus Thuram,France,FWD,34,,Group I
Kylian Mbappé,France,FWD,98,,Group I
Michael Olise,France,FWD,17,,Group I
Bradley Barcola,France,FWD,20,,Group I
N'Golo Kanté,France,MID,69,,Group I
Adrien Rabiot,France,MID,59,,Group I
Ibrahima Konaté,France,DEF,28,,Group I
Mike Maignan,France,GK,40,,Group I
William Saliba,France,DEF,32,,Group I
Warren Zaïre-Emery,France,MID,11,,Group I
Théo Hernandez,France,DEF,44,,Group I
Désiré Doué,France,FWD,7,,Group I
Lucas Hernandez,France,DEF,42,,Group I
Jean-Philippe Mateta,France,FWD,4,,Group I
Robin Risser,France,GK,0,,Group I
Rayan Cherki,France,MID,7,,Group I
Maghnes Akliouche,France,MID,9,,Group I
Maxence Lacroix,France,DEF,4,,Group I
Fahad Talib,Iraq,GK,21,,Group I
Rebin Sulaka,Iraq,DEF,56,,Group I
Hussein Ali,Iraq,DEF,27,,Group I
Zaid Tahseen,Iraq,DEF,28,,Group I
Akam Hashim,Iraq,DEF,14,,Group I
Manaf Younis,Iraq,DEF,34,,Group I
Youssef Amyn,Iraq,MID,27,,Group I
Ibrahim Bayesh,Iraq,MID,76,,Group I
Ali Al-Hamadi,Iraq,FWD,20,,Group I
Mohanad Ali,Iraq,FWD,72,,Group I
Ahmed Qasem,Iraq,FWD,3,,Group I
Jalal Hassan,Iraq,GK,102,,Group I
Ali Yousif,Iraq,FWD,7,,Group I
Zidane Iqbal,Iraq,MID,25,,Group I
Ahmed Maknzi,Iraq,DEF,7,,Group I
Amir Al-Ammari,Iraq,MID,51,,Group I
Ali Jasim,Iraq,FWD,36,,Group I
Aymen Hussein,Iraq,FWD,95,,Group I
Kevin Yakob,Iraq,MID,9,,Group I
Aimar Sher,Iraq,MID,7,,Group I
Marko Farji,Iraq,FWD,12,,Group I
Ahmed Basil,Iraq,GK,16,,Group I
Merchas Doski,Iraq,DEF,31,,Group I
Zaid Ismail,Iraq,MID,6,,Group I
Mustafa Saadoon,Iraq,DEF,17,,Group I
Frans Putros,Iraq,DEF,28,,Group I
Ørjan Nyland,Norway,GK,71,,Group I
Morten Thorsby,Norway,MID,31,,Group I
Kristoffer Ajer,Norway,DEF,52,,Group I
Leo Østigård,Norway,DEF,38,,Group I
David Møller Wolfe,Norway,DEF,22,,Group I
Patrick Berg,Norway,MID,43,,Group I
Alexander Sørloth,Norway,FWD,72,,Group I
Sander Berge,Norway,MID,66,,Group I
Erling Haaland,Norway,FWD,50,,Group I
Martin Ødegaard,Norway,MID,68,,Group I
Jørgen Strand Larsen,Norway,FWD,28,,Group I
Sander Tangvik,Norway,GK,0,,Group I
Egil Selvik,Norway,GK,7,,Group I
Fredrik Aursnes,Norway,MID,22,,Group I
Fredrik André Bjørkan,Norway,DEF,21,,Group I
Marcus Holmgren Pedersen,Norway,DEF,32,,Group I
Torbjørn Heggem,Norway,DEF,15,,Group I
Kristian Thorstvedt,Norway,MID,37,,Group I
Thelo Aasgaard,Norway,MID,8,,Group I
Antonio Nusa,Norway,FWD,24,,Group I
Andreas Schjelderup,Norway,MID,12,,Group I
Oscar Bobb,Norway,MID,20,,Group I
Jens Petter Hauge,Norway,MID,15,,Group I
Sondre Langås,Norway,DEF,3,,Group I
Henrik Falchener,Norway,DEF,1,,Group I
Julian Ryerson,Norway,FWD,43,,Group I
Yehvann Diouf,Senegal,GK,2,,Group I
Mamadou Sarr,Senegal,DEF,8,,Group I
Kalidou Koulibaly,Senegal,DEF,103,,Group I
Abdoulaye Seck,Senegal,DEF,22,,Group I
Idrissa Gueye,Senegal,MID,131,,Group I
Pathé Ciss,Senegal,MID,30,,Group I
Assane Diao,Senegal,FWD,5,,Group I
Lamine Camara,Senegal,MID,33,,Group I
Bamba Dieng,Senegal,FWD,23,,Group I
Sadio Mané,Senegal,FWD,128,,Group I
Nicolas Jackson,Senegal,FWD,33,,Group I
Cherif Ndiaye,Senegal,FWD,19,,Group I
Iliman Ndiaye,Senegal,FWD,40,,Group I
Ismail Jakobs,Senegal,DEF,30,,Group I
Krépin Diatta,Senegal,DEF,61,,Group I
Édouard Mendy,Senegal,GK,57,,Group I
Pape Matar Sarr,Senegal,MID,40,,Group I
Ismaïla Sarr,Senegal,FWD,83,,Group I
Moussa Niakhaté,Senegal,DEF,31,,Group I
Ibrahim Mbaye,Senegal,FWD,11,,Group I
Habib Diarra,Senegal,MID,21,,Group I
Bara Sapoko Ndiaye,Senegal,MID,1,,Group I
Mory Diaw,Senegal,GK,5,,Group I
Antoine Mendy,Senegal,DEF,7,,Group I
El Hadji Malick Diouf,Senegal,DEF,20,,Group I
Pape Gueye,Senegal,MID,41,,Group I
Melvin Mastil,Algeria,GK,3,,Group J
Aïssa Mandi,Algeria,DEF,120,,Group J
Achref Abada,Algeria,DEF,9,,Group J
Mohamed Amine Tougai,Algeria,DEF,31,,Group J
Zineddine Belaïd,Algeria,DEF,13,,Group J
Ramiz Zerrouki,Algeria,MID,54,,Group J
Riyad Mahrez,Algeria,FWD,117,,Group J
Houssem Aouar,Algeria,MID,23,,Group J
Amine Gouiri,Algeria,FWD,24,,Group J
Farès Chaïbi,Algeria,MID,32,,Group J
Anis Hadj Moussa,Algeria,FWD,16,,Group J
Nadhir Benbouali,Algeria,FWD,5,,Group J
Jaouen Hadjam,Algeria,DEF,19,,Group J
Hicham Boudaoui,Algeria,MID,35,,Group J
Rayan Aït-Nouri,Algeria,DEF,31,,Group J
Oussama Benbot,Algeria,GK,4,,Group J
Rafik Belghali,Algeria,DEF,14,,Group J
Mohamed Amoura,Algeria,FWD,48,,Group J
Nabil Bentaleb,Algeria,MID,62,,Group J
Adil Boulbina,Algeria,FWD,11,,Group J
Ramy Bensebaini,Algeria,DEF,82,,Group J
Ibrahim Maza,Algeria,MID,18,,Group J
Luca Zidane,Algeria,GK,7,,Group J
Yacine Titraoui,Algeria,MID,5,,Group J
Farès Ghedjemis,Algeria,FWD,1,,Group J
Samir Chergui,Algeria,DEF,6,,Group J
Juan Musso,Argentina,GK,4,,Group J
Marcos Senesi,Argentina,DEF,3,,Group J
Nicolás Tagliafico,Argentina,DEF,76,,Group J
Gonzalo Montiel,Argentina,DEF,39,,Group J
Leandro Paredes,Argentina,MID,77,,Group J
Lisandro Martínez,Argentina,DEF,28,,Group J
Rodrigo De Paul,Argentina,MID,87,,Group J
Valentín Barco,Argentina,MID,4,,Group J
Julián Alvarez,Argentina,FWD,51,,Group J
Lionel Messi,Argentina,FWD,199,,Group J
Giovani Lo Celso,Argentina,MID,67,,Group J
Gerónimo Rulli,Argentina,GK,8,,Group J
Cristian Romero,Argentina,DEF,51,,Group J
Exequiel Palacios,Argentina,MID,40,,Group J
Nicolás González,Argentina,MID,51,,Group J
Thiago Almada,Argentina,FWD,16,,Group J
Giuliano Simeone,Argentina,FWD,13,,Group J
Nico Paz,Argentina,FWD,9,,Group J
Nicolás Otamendi,Argentina,DEF,132,,Group J
Alexis Mac Allister,Argentina,MID,46,,Group J
José Manuel López,Argentina,FWD,5,,Group J
Lautaro Martínez,Argentina,FWD,77,,Group J
Emiliano Martínez,Argentina,GK,59,,Group J
Enzo Fernández,Argentina,MID,42,,Group J
Facundo Medina,Argentina,DEF,9,,Group J
Nahuel Molina,Argentina,DEF,58,,Group J
Alexander Schlager,Austria,GK,26,,Group J
David Affengruber,Austria,DEF,1,,Group J
Kevin Danso,Austria,DEF,32,,Group J
Xaver Schlager,Austria,MID,51,,Group J
Stefan Posch,Austria,DEF,52,,Group J
Nicolas Seiwald,Austria,MID,47,,Group J
Marko Arnautović,Austria,FWD,133,,Group J
David Alaba,Austria,DEF,113,,Group J
Marcel Sabitzer,Austria,MID,98,,Group J
Florian Grillitsch,Austria,MID,58,,Group J
Michael Gregoritsch,Austria,FWD,75,,Group J
Florian Wiegele,Austria,GK,1,,Group J
Patrick Pentz,Austria,GK,18,,Group J
Saša Kalajdžić,Austria,FWD,22,,Group J
Philipp Lienhart,Austria,DEF,41,,Group J
Phillipp Mwene,Austria,DEF,30,,Group J
Carney Chukwuemeka,Austria,MID,3,,Group J
Romano Schmid,Austria,MID,34,,Group J
Dejan Ljubičić,Austria,MID,9,,Group J
Konrad Laimer,Austria,MID,57,,Group J
Patrick Wimmer,Austria,FWD,30,,Group J
Alexander Prass,Austria,MID,19,,Group J
Marco Friedl,Austria,DEF,11,,Group J
Paul Wanner,Austria,MID,3,,Group J
Michael Svoboda,Austria,DEF,4,,Group J
Alessandro Schöpf,Austria,MID,35,,Group J
Yazeed Abulaila,Jordan,GK,76,,Group J
Mohammad Abu Hashish,Jordan,DEF,56,,Group J
Abdallah Nasib,Jordan,DEF,65,,Group J
Husam Abu Dahab,Jordan,DEF,18,,Group J
Yazan Al-Arab,Jordan,DEF,80,,Group J
Amer Jamous,Jordan,MID,19,,Group J
Mohammad Abu Zrayq,Jordan,FWD,41,,Group J
Noor Al-Rawabdeh,Jordan,MID,68,,Group J
Ali Olwan,Jordan,FWD,66,,Group J
Musa Al-Taamari,Jordan,FWD,92,,Group J
Odeh Al-Fakhouri,Jordan,FWD,10,,Group J
Nour Bani Attiah,Jordan,GK,5,,Group J
Mahmoud Al-Mardi,Jordan,FWD,89,,Group J
Rajaei Ayed,Jordan,MID,72,,Group J
Ibrahim Sadeh,Jordan,MID,57,,Group J
Mo Abualnadi,Jordan,DEF,18,,Group J
Salim Obaid,Jordan,DEF,11,,Group J
Mohammad Taha,Jordan,MID,2,,Group J
Saed Al-Rosan,Jordan,DEF,21,,Group J
Mohannad Abu Taha,Jordan,MID,29,,Group J
Nizar Al-Rashdan,Jordan,MID,47,,Group J
Abdallah Al-Fakhouri,Jordan,GK,11,,Group J
Ihsan Haddad,Jordan,DEF,92,,Group J
Ali Azaizeh,Jordan,FWD,4,,Group J
Mohammad Al-Dawoud,Jordan,MID,13,,Group J
Anas Badawi,Jordan,DEF,1,,Group J
David Ospina,Colombia,GK,130,,Group K
Daniel Muñoz,Colombia,DEF,46,,Group K
Jhon Lucumí,Colombia,DEF,37,,Group K
Santiago Arias,Colombia,DEF,68,,Group K
Kevin Castaño,Colombia,MID,25,,Group K
Richard Ríos,Colombia,MID,32,,Group K
Luis Díaz,Colombia,FWD,74,,Group K
Jorge Carrascal,Colombia,MID,24,,Group K
Jhon Córdoba,Colombia,FWD,21,,Group K
James Rodríguez,Colombia,MID,126,,Group K
Jhon Arias,Colombia,MID,38,,Group K
Camilo Vargas,Colombia,GK,42,,Group K
Yerry Mina,Colombia,DEF,54,,Group K
Gustavo Puerta,Colombia,DEF,6,,Group K
Juan Portilla,Colombia,MID,10,,Group K
Jefferson Lerma,Colombia,MID,65,,Group K
Johan Mojica,Colombia,DEF,45,,Group K
Willer Ditta,Colombia,DEF,5,,Group K
Cucho Hernández,Colombia,FWD,9,,Group K
Juan Fernando Quintero,Colombia,MID,49,,Group K
Jaminton Campaz,Colombia,FWD,10,,Group K
Deiver Machado,Colombia,DEF,15,,Group K
Davinson Sánchez,Colombia,DEF,79,,Group K
Álvaro Montero,Colombia,GK,12,,Group K
Luis Suárez,Colombia,FWD,12,,Group K
Andrés Gómez,Colombia,FWD,8,,Group K
Lionel Mpasi,DR Congo,GK,29,,Group K
Aaron Wan-Bissaka,DR Congo,DEF,12,,Group K
Steve Kapuadi,DR Congo,DEF,4,,Group K
Axel Tuanzebe,DR Congo,DEF,14,,Group K
Dylan Batubinsika,DR Congo,DEF,14,,Group K
Ngal'ayel Mukau,DR Congo,MID,14,,Group K
Nathanaël Mbuku,DR Congo,MID,19,,Group K
Samuel Moutoussamy,DR Congo,MID,58,,Group K
Brian Cipenga,DR Congo,FWD,8,,Group K
Théo Bongonda,DR Congo,MID,38,,Group K
Gaël Kakuta,DR Congo,FWD,31,,Group K
Joris Kayembe,DR Congo,DEF,26,,Group K
Meschak Elia,DR Congo,FWD,69,,Group K
Noah Sadiki,DR Congo,MID,20,,Group K
Aaron Tshibola,DR Congo,MID,17,,Group K
Timothy Fayulu,DR Congo,GK,3,,Group K
Cédric Bakambu,DR Congo,FWD,70,,Group K
Charles Pickel,DR Congo,MID,34,,Group K
Fiston Mayele,DR Congo,FWD,37,,Group K
Yoane Wissa,DR Congo,FWD,38,,Group K
Matthieu Epolo,DR Congo,GK,1,,Group K
Chancel Mbemba,DR Congo,DEF,109,,Group K
Simon Banza,DR Congo,FWD,15,,Group K
Gédéon Kalulu,DR Congo,DEF,28,,Group K
Edo Kayembe,DR Congo,MID,43,,Group K
Arthur Masuaku,DR Congo,DEF,45,,Group K
Diogo Costa,Portugal,GK,43,,Group K
Nélson Semedo,Portugal,DEF,50,,Group K
Rúben Dias,Portugal,DEF,76,,Group K
Tomás Araújo,Portugal,DEF,5,,Group K
