team,squad_size,team_avg_overall,team_avg_shooting,team_avg_passing,team_avg_defending,team_avg_pace,team_avg_dribbling,team_avg_physic,team_star_rating,team_total_career_goals,team_avg_market_value,team_gk_rating,team_depth_score
France,26,82.03846153846153,61.73076923076923,68.73076923076923,57.73076923076923,75.15384615384616,70.0,74.07692307692308,91.0,1045.0,56653846.15384615,80.33333333333333,4.26596548725626
Germany,26,81.42307692307692,58.53846153846154,67.5,58.0,69.65384615384616,68.23076923076923,71.3076923076923,87.0,880.0,37442307.692307696,80.66666666666667,3.678837609061612
Ghana,26,74.46153846153847,57.23076923076923,64.96153846153847,56.92307692307692,69.96153846153847,66.76923076923077,71.61538461538461,83.0,406.0,8591000.0,75.66666666666667,3.754791810268785
Haiti,26,73.73076923076923,57.88461538461539,62.76923076923077,54.26923076923077,68.76923076923077,66.07692307692308,71.61538461538461,79.0,127.0,2871428.5714285714,74.66666666666667,3.639315235674891
Iran,26,76.34615384615384,58.23076923076923,63.69230769230769,55.15384615384615,66.84615384615384,65.8076923076923,72.88461538461539,82.0,392.0,1073863.6363636365,77.33333333333333,3.297784804286753
Iraq,26,73.42307692307692,55.80769230769231,67.03846153846153,57.34615384615385,69.23076923076923,66.84615384615384,70.46153846153847,79.0,26.0,2282500.0,74.33333333333333,3.2394206509569194
Ivory Coast,26,73.96153846153847,58.30769230769231,62.92307692307692,52.0,71.84615384615384,66.11538461538461,71.42307692307692,79.0,462.0,19742307.692307692,72.0,3.4115189488644995
Japan,26,75.0,57.23076923076923,64.23076923076923,57.23076923076923,67.96153846153847,66.88461538461539,70.3076923076923,81.0,503.0,10418000.0,71.66666666666667,4.089009660052175
Jordan,26,73.03846153846153,57.65384615384615,66.92307692307692,57.73076923076923,69.57692307692308,64.8076923076923,71.65384615384616,79.0,57.0,723214.2857142857,73.33333333333333,3.571898870133579
Mexico,26,76.5,58.07692307692308,62.96153846153846,51.15384615384615,68.26923076923077,64.1923076923077,73.23076923076923,87.0,291.0,4780434.782608695,75.33333333333333,4.709564735726647
Morocco,26,75.76923076923077,57.57692307692308,66.46153846153847,59.34615384615385,70.15384615384616,66.5,73.42307692307692,85.0,343.0,18026086.95652174,76.66666666666667,4.159881655121379
Netherlands,26,79.46153846153847,58.30769230769231,64.96153846153847,55.53846153846154,68.5,67.73076923076923,73.1923076923077,88.0,1238.0,30269230.769230768,77.66666666666667,4.022245832673773
New Zealand,26,73.76923076923077,56.92307692307692,63.80769230769231,59.07692307692308,67.8076923076923,65.26923076923077,72.15384615384616,79.0,149.0,1319047.619047619,73.0,3.3741095691478935
Norway,26,76.88461538461539,58.42307692307692,64.73076923076923,57.96153846153846,68.23076923076923,68.46153846153847,73.34615384615384,91.0,720.0,22428846.153846152,73.66666666666667,5.109418151429167
Panama,26,74.53846153846153,54.80769230769231,64.42307692307692,55.53846153846154,67.3076923076923,63.69230769230769,72.03846153846153,87.0,75.0,1215476.1904761905,71.0,4.8268479920608165
Paraguay,26,74.53846153846153,57.69230769230769,66.07692307692308,55.84615384615385,68.61538461538461,69.11538461538461,71.26923076923077,85.0,180.0,4140909.090909091,76.33333333333333,4.071665695813144
Portugal,26,79.8076923076923,61.84615384615385,66.8076923076923,55.23076923076923,72.6923076923077,69.73076923076923,71.26923076923077,87.0,1313.0,37115384.615384616,80.33333333333333,4.427362472346087
Qatar,26,74.5,57.03846153846154,62.46153846153846,52.53846153846154,72.61538461538461,67.3076923076923,72.1923076923077,92.0,53.0,1001562.5,74.0,4.768647607026545
Saudi Arabia,26,74.73076923076923,55.73076923076923,63.61538461538461,55.92307692307692,70.42307692307692,66.03846153846153,70.3076923076923,79.0,18.0,1154411.7647058824,71.33333333333333,3.5163355051268055
Scotland,26,75.53846153846153,56.34615384615385,62.61538461538461,57.15384615384615,69.73076923076923,65.07692307692308,71.96153846153847,81.0,547.0,7869000.0,72.0,3.546612685149245
Senegal,26,74.88461538461539,58.38461538461539,64.03846153846153,55.84615384615385,69.88461538461539,67.1923076923077,71.15384615384616,82.0,529.0,17473076.923076924,72.66666666666667,3.8086945068033278
South Africa,26,74.88461538461539,59.73076923076923,64.57692307692308,56.30769230769231,69.57692307692308,67.42307692307692,71.42307692307692,83.0,42.0,6425000.0,76.66666666666667,3.5250750128406976
South Korea,26,78.0,55.57692307692308,66.11538461538461,62.46153846153846,70.15384615384616,64.61538461538461,73.73076923076923,87.0,405.0,6143750.0,74.33333333333333,3.9293765408777
Spain,26,80.6923076923077,60.07692307692308,66.15384615384616,56.88461538461539,71.53846153846153,69.6923076923077,70.84615384615384,91.0,771.0,45473076.92307692,79.66666666666667,4.096527610249741
Sweden,26,74.46153846153847,53.38461538461539,62.30769230769231,58.57692307692308,70.11538461538461,67.11538461538461,71.53846153846153,81.0,440.0,16337000.0,71.66666666666667,3.535316327920535
Switzerland,26,76.53846153846153,59.23076923076923,64.38461538461539,54.38461538461539,70.84615384615384,66.88461538461539,70.03846153846153,84.0,354.0,12215384.615384616,72.33333333333333,3.7760378094586837
Tunisia,26,72.57692307692308,53.57692307692308,63.53846153846154,58.57692307692308,67.1923076923077,65.8076923076923,74.96153846153847,79.0,141.0,5331578.947368421,72.0,3.126315107893981
Turkey,26,75.46153846153847,56.30769230769231,64.34615384615384,52.65384615384615,69.23076923076923,67.26923076923077,71.26923076923077,85.0,599.0,18026923.076923076,73.0,3.5914428212713534
United States,26,75.15384615384616,57.07692307692308,64.15384615384616,57.0,70.73076923076923,66.0,72.53846153846153,82.0,434.0,14891304.347826088,73.33333333333333,3.946566180286936
Uruguay,27,78.25925925925925,56.44444444444444,65.77777777777777,56.48148148148148,69.14814814814815,65.14814814814815,73.22222222222223,87.0,269.0,14053703.703703703,72.0,5.295808157928688
Uzbekistan,26,75.15384615384616,55.38461538461539,65.42307692307692,62.23076923076923,66.42307692307692,65.6923076923077,73.88461538461539,79.0,139.0,5054545.454545454,70.33333333333333,3.132951422442521
